Time,RAMUsedPct,RAMFreeGB,CommitUsedGB,CommitLimitGB,PFs,CPULoad,CPUFreq,ChromeP,ChromeGB,ClaudeP,ClaudeGB,TopMem,TopMB
17:20:59,79.6,3.21,17.73,20.44,1528812,96,1498,18,2.83,13,1.89,firefox,1958
17:21:16,86.8,2.07,18.6,20.44,3689942,71,1498,18,4.05,13,2.04,firefox,1952
17:21:33,89.2,1.7,19.52,20.44,2113752,40,1498,18,4.71,13,2.05,firefox,1948
17:21:49,57.1,6.75,11.9,19.68,1760339,16,1498,16,1.38,0,0,firefox,1909
17:22:06,58.3,6.56,12.08,19.68,524120,19,1498,16,1.38,0,0,firefox,1935
17:22:22,67.4,5.13,13.47,19.68,1582785,45,1498,16,1.38,0,0,firefox,1931
17:22:40,70.6,4.63,14.34,19.68,1851680,56,1498,16,1.39,8,0.57,firefox,1924
17:22:58,63.6,5.72,13.34,19.68,1745592,85,1498,16,1.38,12,2.38,firefox,1918
17:23:14,68.8,4.91,14.05,19.68,1742441,17,1498,16,1.39,10,2.52,firefox,1943
17:23:31,65.2,5.48,13.43,19.68,590355,29,1498,16,1.39,10,2.01,firefox,1937
17:23:47,64.4,5.6,13.33,19.68,324438,28,1498,16,1.41,10,1.73,firefox,1923
17:24:03,66.9,5.2,17.99,19.68,1826859,62,1498,16,1.35,10,1.69,firefox,1209
17:24:20,69.5,4.8,18.24,19.68,1069663,79,1498,16,1.36,10,1.74,firefox,1190
17:24:37,76.6,3.68,19.31,20.69,1626229,68,1498,16,1.45,11,2.31,HD-Player,1217
17:24:54,78.3,3.42,19.66,20.69,982690,77,1498,16,1.38,12,2.56,HD-Player,1443
17:25:11,80.2,3.11,19.6,20.69,448140,69,1498,16,1.33,12,2.56,HD-Player,1948
17:25:28,82.3,2.79,19.64,20.69,876433,60,1498,16,1.33,12,2.58,firefox,1184
17:25:48,83.2,2.65,19.69,20.69,865349,99,1498,16,1.33,12,2.66,firefox,1071
17:26:05,77.8,3.49,18.11,20.69,1227648,44,1498,16,1.33,12,2.64,claude,662
17:26:22,78.9,3.32,18.21,20.69,472562,49,1498,16,1.37,12,2.58,claude,651
17:26:39,80.4,3.09,18.38,20.69,678000,35,1498,16,1.34,12,2.57,firefox,722
17:26:55,80.7,3.03,18.43,20.69,689643,44,1498,16,1.34,12,2.61,firefox,689
17:27:11,86.1,2.18,19.45,20.69,733065,63,1498,16,1.34,12,2.68,firefox,1102
17:27:29,85,2.36,19.53,20.69,1048647,57,1498,16,1.34,13,2.88,firefox,1008
17:27:46,85,2.36,19.52,20.69,337094,68,1498,16,1.34,13,2.86,firefox,1087
17:28:03,85.9,2.22,19.63,20.69,456991,52,1498,16,1.34,13,2.89,firefox,1144
17:28:20,85.8,2.24,19.68,20.69,259815,43,1498,16,1.34,13,2.86,firefox,1231
17:28:38,85.4,2.3,19.6,20.69,454537,44,1498,16,1.34,13,2.88,firefox,1231
17:28:54,86.3,2.16,19.85,20.69,417979,69,1498,16,1.17,13,2.98,firefox,1290
17:29:10,87.9,1.91,20.16,20.69,552851,58,1498,16,1.17,13,3.08,firefox,1389
17:29:27,89.1,1.71,20.29,20.69,549634,88,1498,16,1.16,13,3.13,firefox,1510
17:29:44,89.8,1.61,20.49,21.69,441682,43,1498,16,1.19,13,3.04,firefox,1597
17:30:01,89.6,1.64,20.7,21.69,849473,72,1498,16,1.19,13,3.01,firefox,1700
17:30:18,86.5,2.13,20.05,21.69,465201,54,1498,16,1.2,13,3.07,firefox,1424
17:30:35,86.8,2.07,20.05,21.69,542559,58,1498,16,1.29,13,3,firefox,1443
17:30:52,82.8,2.71,19.42,21.69,485734,96,1498,16,1.27,13,3.01,firefox,780
17:31:10,80.7,3.03,19.68,21.69,287908,85,1498,16,1.27,13,3.02,firefox,969
17:31:28,79.8,3.18,19.19,21.69,322327,100,1498,16,1.26,13,2.99,firefox,895
17:31:47,82.8,2.7,19.89,21.69,576992,100,1498,16,1.27,13,3,firefox,1127
17:32:10,80.5,3.06,19.54,21.69,613242,85,1498,16,1.27,13,2.99,firefox,866
17:32:27,82,2.83,19.61,21.69,472495,76,1498,16,1.27,13,2.99,firefox,1031
17:32:45,84.4,2.46,20.07,21.69,590254,97,1498,16,1.27,13,3.09,firefox,1331
17:33:06,88.6,1.8,20.68,21.69,877360,100,1498,16,1.32,13,3.11,firefox,1654
17:33:25,90,1.57,20.88,21.69,675511,80,1498,16,1.32,13,3.02,firefox,2022
17:33:42,91.2,1.39,21.12,21.69,631835,71,1498,16,1.32,13,3.02,firefox,623
17:34:00,91.8,1.29,21.48,21.85,996972,86,1498,16,1.26,13,3.17,HD-Player,1966
17:34:17,90.4,1.51,21.32,22.14,1030389,68,1498,16,1.27,13,3.06,HD-Player,1967
17:34:34,90.7,1.47,21.28,22.14,449915,54,1498,16,1.26,13,2.93,HD-Player,1967
17:34:51,92.1,1.25,21.47,22.14,345493,82,1498,16,1.27,13,2.98,HD-Player,1967
17:35:08,95.3,0.74,21.72,22.14,863052,100,1498,16,1.62,13,2.95,HD-Player,1971
17:35:27,96.9,0.48,21.9,22.31,1620324,100,1498,15,1.75,13,2.76,HD-Player,1971
17:35:46,95.1,0.77,21.72,22.31,1198956,97,1498,14,1.59,13,2.84,HD-Player,1972
17:36:03,94.4,0.88,21.86,22.31,915590,100,1498,16,1.6,13,2.93,HD-Player,1972
17:36:22,93,1.1,21.52,22.31,491516,74,1498,15,1.38,13,2.89,HD-Player,1972
17:36:39,94,0.95,21.59,22.31,314207,65,1498,15,1.38,13,2.9,HD-Player,1973
17:36:56,94.8,0.82,21.58,22.31,358881,62,1498,15,1.38,13,2.93,HD-Player,1973
17:37:12,95.5,0.7,21.74,22.31,668189,97,1498,15,1.41,13,3.04,HD-Player,1973
17:37:30,94.7,0.83,21.59,22.31,305307,54,1498,15,1.38,13,3,HD-Player,1979
17:37:47,95,0.79,21.58,22.31,304885,52,1498,15,1.37,13,2.99,HD-Player,1979
17:38:04,94.7,0.83,21.52,22.31,429508,74,1498,14,1.32,13,2.96,HD-Player,1979
17:38:22,93.6,1.01,21.51,22.31,704678,76,1498,14,1.31,13,2.74,HD-Player,1979
17:38:38,94.3,0.9,21.65,22.31,475999,63,1498,14,1.38,13,2.74,HD-Player,1978
17:38:54,95.2,0.76,21.74,22.31,850829,97,1498,14,1.43,13,2.82,HD-Player,1422
